IDVersion,IDUsuario,Fecha de Creacion
1,1,2024/01/01
2,2,2024/02/05
3,3,2024/03/10
4,4,2024/04/15
5,5,2024/05/20
6,6,2024/06/25
7,7,2024/07/30
8,8,2024/08/04
9,9,2024/09/09
10,10,2024/10/14
11,11,2024/11/19
12,12,2024/12/24
13,13,2025/01/01
14,14,2025/02/05
15,15,2025/03/10
16,16,2025/04/15
17,17,2025/05/20
18,18,2025/06/25
19,19,2025/07/30
20,20,2025/08/04
21,21,2023/07/11
22,22,2024/09/25
23,23,2025/05/03
24,24,2022/12/16
25,25,2026/02/09
26,26,2023/08/28
27,27,2025/06/14
28,28,2024/11/20
29,29,2026/03/05
30,30,2022/10/22
